Ostrich,Struthio camelus,TC000001
White Woodpecker,Melanerpes candidus,TC004859
Lewis's Woodpecker,Melanerpes lewis,TC004860
Guadeloupe Woodpecker,Melanerpes herminieri,TC004861
Puerto Rican Woodpecker,Melanerpes portoricensis,TC004862
Red-headed Woodpecker,Melanerpes erythrocephalus,TC004863
Acorn Woodpecker,Melanerpes formicivorus,TC004864
Golden-naped Woodpecker,Melanerpes chrysauchen,TC004865
Yellow-tufted Woodpecker,Melanerpes cruentatus,TC004866
Yellow-fronted Woodpecker,Melanerpes flavifrons,TC004867
Beautiful Woodpecker,Melanerpes pulcher,TC004868
Black-cheeked Woodpecker,Melanerpes pucherani,TC004869
White-fronted Woodpecker,Melanerpes cactorum,TC004870
Hispaniolan Woodpecker,Melanerpes striatus,TC004871
Jamaican Woodpecker,Melanerpes radiolatus,TC004872
Golden-cheeked Woodpecker,Melanerpes chrysogenys,TC004873
Gray-breasted Woodpecker,Melanerpes hypopolius,TC004874
Yucatan Woodpecker,Melanerpes pygmaeus,TC004875
Red-crowned Woodpecker,Melanerpes rubricapillus,TC004876
Gila Woodpecker,Melanerpes uropygialis,TC004878
Hoffmann's Woodpecker,Melanerpes hoffmannii,TC004879
Golden-fronted Woodpecker,Melanerpes aurifrons,TC004880
Red-bellied Woodpecker,Melanerpes carolinus,TC004885
West Indian Woodpecker,Melanerpes superciliaris,TC004886
Williamson's Sapsucker,Sphyrapicus thyroideus,TC004888
Yellow-bellied Sapsucker,Sphyrapicus varius,TC004889
Red-naped Sapsucker,Sphyrapicus nuchalis,TC004891
Red-breasted Sapsucker,Sphyrapicus ruber,TC004894
Cuban Green Woodpecker,Xiphidiopicus percussus,TC004896
Fine-spotted Woodpecker,Campethera punctuligera,TC004897
Nubian Woodpecker,Campethera nubica,TC004898
Bennett's Woodpecker,Campethera bennettii,TC004899
Reichenow's Woodpecker,Campethera scriptoricauda,TC004900
Golden-tailed Woodpecker,Campethera abingoni,TC004901
Mombasa Woodpecker,Campethera mombassica,TC004902
Knysna Woodpecker,Campethera notata,TC004903
Little Green Woodpecker,Campethera maculosa,TC004904
Green-backed Woodpecker,Campethera cailliautii,TC004905
Tullberg's Woodpecker,Campethera tullbergi,TC004906
Buff-spotted Woodpecker,Campethera nivosa,TC004907
Brown-eared Woodpecker,Campethera caroli,TC004908
Ground Woodpecker,Geocolaptes olivaceus,TC004909
Little Gray Woodpecker,Dendropicos elachus,TC004910
Speckle-breasted Woodpecker,Dendropicos poecilolaemus,TC004911
Abyssinian Woodpecker,Dendropicos abyssinicus,TC004912
Cardinal Woodpecker,Dendropicos fuscescens,TC004913
Melancholy Woodpecker,Dendropicos lugubris,TC004914
Gabon Woodpecker,Dendropicos gabonensis,TC004915
Stierling's Woodpecker,Dendropicos stierlingi,TC004916
Bearded Woodpecker,Dendropicos namaquus,TC004917
Fire-bellied Woodpecker,Dendropicos pyrrhogaster,TC004918
Golden-crowned Woodpecker,Dendropicos xantholophus,TC004919
Elliot's Woodpecker,Dendropicos elliotii,TC004920
Gray Woodpecker,Dendropicos goertae,TC004921
Gray-headed Woodpecker,Dendropicos spodocephalus,TC004922
Olive Woodpecker,Dendropicos griseocephalus,TC004923
Brown-backed Woodpecker,Dendropicos obsoletus,TC004924
Sulawesi Woodpecker,Dendrocopos temminckii,TC004925
Philippine Woodpecker,Dendrocopos maculatus,TC004926
Sulu Woodpecker,Dendrocopos ramsayi,TC012685
Brown-capped Woodpecker,Dendrocopos nanus,TC012309
Sunda Woodpecker,Dendrocopos moluccensis,TC012308
Gray-capped Woodpecker,Dendrocopos canicapillus,TC004928
Pygmy Woodpecker,Dendrocopos kizuki,TC004929
Lesser Spotted Woodpecker,Dendrocopos minor,TC004930
Brown-fronted Woodpecker,Dendrocopos auriceps,TC004931
Fulvous-breasted Woodpecker,Dendrocopos macei,TC012490
Freckle-breasted Woodpecker,Dendrocopos analis,TC013530
Stripe-breasted Woodpecker,Dendrocopos atratus,TC004933
Yellow-crowned Woodpecker,Dendrocopos mahrattensis,TC004934
Arabian Woodpecker,Dendrocopos dorae,TC004935
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,TC004936
Crimson-breasted Woodpecker,Dendrocopos cathpharius,TC004937
Darjeeling Woodpecker,Dendrocopos darjellensis,TC004938
Middle Spotted Woodpecker,Dendrocopos medius,TC004939
White-backed Woodpecker,Dendrocopos leucotos,TC004940
Great Spotted Woodpecker,Dendrocopos major,TC004941
Syrian Woodpecker,Dendrocopos syriacus,TC004942
White-winged Woodpecker,Dendrocopos leucopterus,TC004943
Sind Woodpecker,Dendrocopos assimilis,TC004944
Himalayan Woodpecker,Dendrocopos himalayensis,TC004945
Ladder-backed Woodpecker,Picoides scalaris,TC004947
Nuttall's Woodpecker,Picoides nuttallii,TC004949
Downy Woodpecker,Picoides pubescens,TC004950
Smoky-brown Woodpecker,Picoides fumigatus,TC004954
Hairy Woodpecker,Picoides villosus,TC004955
Arizona Woodpecker,Picoides arizonae,TC004957
Strickland's Woodpecker,Picoides stricklandi,TC004958
Red-cockaded Woodpecker,Picoides borealis,TC004959
White-headed Woodpecker,Picoides albolarvatus,TC004960
Eurasian Three-toed Woodpecker,Picoides tridactylus,TC004961
American Three-toed Woodpecker,Picoides dorsalis,TC004962
Black-backed Woodpecker,Picoides arcticus,TC004966
Red-rumped Woodpecker,Veniliornis kirkii,TC004969
Golden-collared Woodpecker,Veniliornis cassini,TC004970
White-spotted Woodpecker,Veniliornis spilogaster,TC004971
Checkered Woodpecker,Veniliornis mixtus,TC004972
Striped Woodpecker,Veniliornis lignarius,TC004973
Blood-colored Woodpecker,Veniliornis sanguineus,TC004974
Little Woodpecker,Veniliornis passerinus,TC004975
Dot-fronted Woodpecker,Veniliornis frontalis,TC004976
Scarlet-backed Woodpecker,Veniliornis callonotus,TC004977
Yellow-vented Woodpecker,Veniliornis dignus,TC004978
Bar-bellied Woodpecker,Veniliornis nigriceps,TC004979
Red-stained Woodpecker,Veniliornis affinis,TC004980
Choco Woodpecker,Veniliornis chocoensis,TC004981
Yellow-eared Woodpecker,Veniliornis maculifrons,TC004982
Rufous-winged Woodpecker,Piculus simplex,TC004983
Stripe-cheeked Woodpecker,Piculus callopterus,TC004984
White-throated Woodpecker,Piculus leucolaemus,TC004985
Lita Woodpecker,Piculus litae,TC004986
Yellow-throated Woodpecker,Piculus flavigula,TC004987
Golden-green Woodpecker,Piculus chrysochloros,TC004988
White-browed Woodpecker,Piculus aurulentus,TC004989
Golden-olive Woodpecker,Colaptes rubiginosus,TC004990
Gray-crowned Woodpecker,Colaptes auricularis,TC004994
Crimson-mantled Woodpecker,Colaptes rivolii,TC004995
Black-necked Woodpecker,Colaptes atricollis,TC004996
Spot-breasted Woodpecker,Colaptes punctigula,TC004997
Green-barred Woodpecker,Colaptes melanochloros,TC004998
Northern Flicker,Colaptes auratus,TC004999
Gilded Flicker,Colaptes chrysoides,TC005006
Fernandina's Flicker,Colaptes fernandinae,TC005008
Chilean Flicker,Colaptes pitius,TC005009
Andean Flicker,Colaptes rupicola,TC005010
Campo Flicker,Colaptes campestris,TC005011
Rufous Woodpecker,Celeus brachyurus,TC005012
Cinnamon Woodpecker,Celeus loricatus,TC005013
Waved Woodpecker,Celeus undatus,TC005014
Scale-breasted Woodpecker,Celeus grammicus,TC005015
Chestnut-colored Woodpecker,Celeus castaneus,TC005016
Chestnut Woodpecker,Celeus elegans,TC005017
Pale-crested Woodpecker,Celeus lugubris,TC005018
Blond-crested Woodpecker,Celeus flavescens,TC005019
Cream-colored Woodpecker,Celeus flavus,TC005020
Rufous-headed Woodpecker,Celeus spectabilis,TC005021
Kaempfer's Woodpecker,Celeus obrieni,TC005022
Ringed Woodpecker,Celeus torquatus,TC005023
Helmeted Woodpecker,Dryocopus galeatus,TC005025
Lineated Woodpecker,Dryocopus lineatus,TC005026
Pileated Woodpecker,Dryocopus pileatus,TC005027
Black-bodied Woodpecker,Dryocopus schulzi,TC005028
White-bellied Woodpecker,Dryocopus javensis,TC005029
Andaman Woodpecker,Dryocopus hodgei,TC005030
Black Woodpecker,Dryocopus martius,TC005031
Powerful Woodpecker,Campephilus pollens,TC005032
Crimson-bellied Woodpecker,Campephilus haematogaster,TC005033
Red-necked Woodpecker,Campephilus rubricollis,TC005036
Robust Woodpecker,Campephilus robustus,TC005037
Crimson-crested Woodpecker,Campephilus melanoleucos,TC005038
Pale-billed Woodpecker,Campephilus guatemalensis,TC005039
Guayaquil Woodpecker,Campephilus gayaquilensis,TC005040
Cream-backed Woodpecker,Campephilus leucopogon,TC005041
Magellanic Woodpecker,Campephilus magellanicus,TC005042
Ivory-billed Woodpecker,Campephilus principalis,TC005043
Imperial Woodpecker,Campephilus imperialis,TC005046
Banded Woodpecker,Picus miniaceus,TC005048
Lesser Yellownape,Picus chlorolophus,TC005049
Crimson-winged Woodpecker,Picus puniceus,TC005050
Greater Yellownape,Picus flavinucha,TC005051
Checker-throated Woodpecker,Picus mentalis,TC005052
Streak-breasted Woodpecker,Picus viridanus,TC005053
Laced Woodpecker,Picus vittatus,TC005054
Streak-throated Woodpecker,Picus xanthopygaeus,TC005055
Scaly-bellied Woodpecker,Picus squamatus,TC005056
Japanese Woodpecker,Picus awokera,TC005057
Green Woodpecker,Picus viridis,TC005058
Levaillant's Woodpecker,Picus vaillantii,TC005061
Red-collared Woodpecker,Picus rabieri,TC005062
Black-headed Woodpecker,Picus erythropygius,TC005063
Gray-faced Woodpecker,Picus canus,TC005064
Olive-backed Woodpecker,Dinopium rafflesii,TC005065
Himalayan Flameback,Dinopium shorii,TC005066
Common Flameback,Dinopium javanense,TC005067
Spot-throated Flameback,Dinopium everetti,TC013083
Black-rumped Flameback,Dinopium benghalense,TC005068
Greater Flameback,Chrysocolaptes guttacristatus,TC005069
Javan Flameback,Chrysocolaptes strictus,TC013051
Luzon Flameback,Chrysocolaptes haematribon,TC013049
Yellow-faced Flameback,Chrysocolaptes xanthocephalus,TC013052
Buff-spotted Flameback,Chrysocolaptes lucidus,TC013050
Red-headed Flameback,Chrysocolaptes erythrocephalus,TC013048
Crimson-backed Flameback,Chrysocolaptes stricklandi,TC012418
White-naped Woodpecker,Chrysocolaptes festivus,TC005070
Pale-headed Woodpecker,Gecinulus grantia,TC005071
Bamboo Woodpecker,Gecinulus viridis,TC005072
Okinawa Woodpecker,Sapheopipo noguchii,TC005073
Maroon Woodpecker,Blythipicus rubiginosus,TC005074
Bay Woodpecker,Blythipicus pyrrhotis,TC005075
Orange-backed Woodpecker,Reinwardtipicus validus,TC005076
Buff-rumped Woodpecker,Meiglyptes tristis,TC005077
Black-and-buff Woodpecker,Meiglyptes jugularis,TC005078
Buff-necked Woodpecker,Meiglyptes tukki,TC005079
Gray-and-buff Woodpecker,Hemicircus concretus,TC005080
Heart-spotted Woodpecker,Hemicircus canente,TC005081
Ashy Woodpecker,Mulleripicus fulvus,TC005082
Northern Sooty-Woodpecker,Mulleripicus funebris,TC005083
Southern Sooty-Woodpecker,Mulleripicus fuliginosus,TC013169
Great Slaty Woodpecker,Mulleripicus pulverulentus,TC005084
Red-legged Seriema,Cariama cristata,TC001644
Black-legged Seriema,Chunga burmeisteri,TC001645
Barred Forest-Falcon,Micrastur ruficollis,TC001525
Plumbeous Forest-Falcon,Micrastur plumbeus,TC001526
Lined Forest-Falcon,Micrastur gilvicollis,TC001527
Cryptic Forest-Falcon,Micrastur mintoni,TC001528
Slaty-backed Forest-Falcon,Micrastur mirandollei,TC001529
Collared Forest-Falcon,Micrastur semitorquatus,TC001530
Buckley's Forest-Falcon,Micrastur buckleyi,TC001531
Black Caracara,Daptrius ater,TC001532
Red-throated Caracara,Ibycter americanus,TC001533
Carunculated Caracara,Phalcoboenus carunculatus,TC001534
Mountain Caracara,Phalcoboenus megalopterus,TC001535
White-throated Caracara,Phalcoboenus albogularis,TC001536
Striated Caracara,Phalcoboenus australis,TC001537
Crested Caracara,Caracara cheriway,TC001538
Southern Caracara,Caracara plancus,TC001539
Guadalupe Caracara,Caracara lutosa,TC001540
Yellow-headed Caracara,Milvago chimachima,TC001541
Chimango Caracara,Milvago chimango,TC001542
Laughing Falcon,Herpetotheres cachinnans,TC001543
Spot-winged Falconet,Spiziapteryx circumcincta,TC001544
Pygmy Falcon,Polihierax semitorquatus,TC001545
White-rumped Falcon,Polihierax insignis,TC001546
Collared Falconet,Microhierax caerulescens,TC001547
Black-thighed Falconet,Microhierax fringillarius,TC001548
White-fronted Falconet,Microhierax latifrons,TC001549
Philippine Falconet,Microhierax erythrogenys,TC001550
Pied Falconet,Microhierax melanoleucos,TC001551
Lesser Kestrel,Falco naumanni,TC001552
Eurasian Kestrel,Falco tinnunculus,TC001553
Madagascar Kestrel,Falco newtoni,TC001556
Mauritius Kestrel,Falco punctatus,TC001557
Seychelles Kestrel,Falco araea,TC001558
Spotted Kestrel,Falco moluccensis,TC001559
Australian Kestrel,Falco cenchroides,TC001560
Greater Kestrel,Falco rupicoloides,TC001561
American Kestrel,Falco sparverius,TC001562
Fox Kestrel,Falco alopex,TC001568
Gray Kestrel,Falco ardosiaceus,TC001569
Dickinson's Kestrel,Falco dickinsoni,TC001570
Banded Kestrel,Falco zoniventris,TC001571
Red-necked Falcon,Falco chicquera,TC001572
Red-footed Falcon,Falco vespertinus,TC001573
Amur Falcon,Falco amurensis,TC001574
Eleonora's Falcon,Falco eleonorae,TC001575
Sooty Falcon,Falco concolor,TC001576
Merlin,Falco columbarius,TC001577
Eurasian Hobby,Falco subbuteo,TC001583
African Hobby,Falco cuvierii,TC001584
Oriental Hobby,Falco severus,TC001585
Australian Hobby,Falco longipennis,TC001586
New Zealand Falcon,Falco novaeseelandiae,TC001587
Brown Falcon,Falco berigora,TC001588
Gray Falcon,Falco hypoleucos,TC001589
Black Falcon,Falco subniger,TC001590
Aplomado Falcon,Falco femoralis,TC001591
Bat Falcon,Falco rufigularis,TC001592
Orange-breasted Falcon,Falco deiroleucus,TC001593
Lanner Falcon,Falco biarmicus,TC001594
Laggar Falcon,Falco jugger,TC001595
Saker Falcon,Falco cherrug,TC001596
Gyrfalcon,Falco rusticolus,TC001597
Peregrine Falcon,Falco peregrinus,TC001598
Barbary Falcon,Falco pelegrinoides,TC001607
Prairie Falcon,Falco mexicanus,TC001606
Taita Falcon,Falco fasciinucha,TC001608
Kea,Nestor notabilis,TC002764
Norfolk Island Kaka,Nestor productus,TC002765
New Zealand Kaka,Nestor meridionalis,TC002766
Kakapo,Strigops habroptila,TC002767
Palm Cockatoo,Probosciger aterrimus,TC002768
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,TC002769
Glossy Black-Cockatoo,Calyptorhynchus lathami,TC002770
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,TC002771
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,TC002772
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,TC002773
Gang-gang Cockatoo,Callocephalon fimbriatum,TC002775
Pink Cockatoo,Lophochroa leadbeateri,TC002776
Galah,Eolophus roseicapilla,TC002777
Long-billed Corella,Cacatua tenuirostris,TC002778
Western Corella,Cacatua pastinator,TC002779
Little Corella,Cacatua sanguinea,TC002780
Tanimbar Corella,Cacatua goffiniana,TC002782
Philippine Cockatoo,Cacatua haematuropygia,TC002783
Yellow-crested Cockatoo,Cacatua sulphurea,TC002784
Ducorps's Cockatoo,Cacatua ducorpsii,TC002785
Sulphur-crested Cockatoo,Cacatua galerita,TC002786
Blue-eyed Cockatoo,Cacatua ophthalmica,TC002787
Salmon-crested Cockatoo,Cacatua moluccensis,TC002788
White Cockatoo,Cacatua alba,TC002789
Cockatiel,Nymphicus hollandicus,TC002790
Black Lory,Chalcopsitta atra,TC002791
Brown Lory,Chalcopsitta duivenbodei,TC002792
Yellow-streaked Lory,Chalcopsitta sintillata,TC002793
Cardinal Lory,Chalcopsitta cardinalis,TC002794
Red-and-blue Lory,Eos histrio,TC002795
Violet-necked Lory,Eos squamata,TC002796
Red Lory,Eos bornea,TC002797
Blue-streaked Lory,Eos reticulata,TC002798
Black-winged Lory,Eos cyanogenia,TC002799
Blue-eared Lory,Eos semilarvata,TC002800
Dusky Lory,Pseudeos fuscata,TC002801
Ornate Lorikeet,Trichoglossus ornatus,TC002802
Rainbow Lorikeet,Trichoglossus haematodus,TC002803
Olive-headed Lorikeet,Trichoglossus euteles,TC002804
Yellow-and-green Lorikeet,Trichoglossus flavoviridis,TC002805
Mindanao Lorikeet,Trichoglossus johnstoniae,TC002806
Pohnpei Lorikeet,Trichoglossus rubiginosus,TC002807
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,TC002808
Varied Lorikeet,Psitteuteles versicolor,TC002809
Iris Lorikeet,Psitteuteles iris,TC002810
Goldie's Lorikeet,Psitteuteles goldiei,TC002811
Chattering Lory,Lorius garrulus,TC002813
Purple-bellied Lory,Lorius hypoinochrous,TC002814
Purple-naped Lory,Lorius domicella,TC002815
Black-capped Lory,Lorius lory,TC002816
White-naped Lory,Lorius albidinucha,TC002817
Yellow-bibbed Lory,Lorius chlorocercus,TC002818
Collared Lory,Phigys solitarius,TC002819
Blue-crowned Lorikeet,Vini australis,TC002820
Kuhl's Lorikeet,Vini kuhlii,TC002821
Stephen's Lorikeet,Vini stepheni,TC002822
Blue Lorikeet,Vini peruviana,TC002823
Ultramarine Lorikeet,Vini ultramarina,TC002824
Musk Lorikeet,Glossopsitta concinna,TC002825
Little Lorikeet,Glossopsitta pusilla,TC002826
Purple-crowned Lorikeet,Glossopsitta porphyrocephala,TC002827
Palm Lorikeet,Charmosyna palmarum,TC002828
Red-chinned Lorikeet,Charmosyna rubrigularis,TC002829
Meek's Lorikeet,Charmosyna meeki,TC002830
Blue-fronted Lorikeet,Charmosyna toxopei,TC002831
Striated Lorikeet,Charmosyna multistriata,TC002832
Pygmy Lorikeet,Charmosyna wilhelminae,TC002833
Red-fronted Lorikeet,Charmosyna rubronotata,TC002834
Red-flanked Lorikeet,Charmosyna placentis,TC002835
New Caledonian Lorikeet,Charmosyna diadema,TC002836
Red-throated Lorikeet,Charmosyna amabilis,TC002837
Duchess Lorikeet,Charmosyna margarethae,TC002838
Fairy Lorikeet,Charmosyna pulchella,TC002839
Josephine's Lorikeet,Charmosyna josefinae,TC002840
Papuan Lorikeet,Charmosyna papou,TC002841
Plum-faced Lorikeet,Oreopsittacus arfaki,TC002842
Yellow-billed Lorikeet,Neopsittacus musschenbroekii,TC002843
Orange-billed Lorikeet,Neopsittacus pullicauda,TC002844
Pesquet's Parrot,Psittrichas fulgidus,TC002845
Yellow-capped Pygmy-Parrot,Micropsitta keiensis,TC002846
Geelvink Pygmy-Parrot,Micropsitta geelvinkiana,TC002847
Buff-faced Pygmy-Parrot,Micropsitta pusio,TC002848
Red-breasted Pygmy-Parrot,Micropsitta bruijnii,TC002849
Meek's Pygmy-Parrot,Micropsitta meeki,TC002850
Finsch's Pygmy-Parrot,Micropsitta finschii,TC002851
Orange-breasted Fig-Parrot,Cyclopsitta gulielmitertii,TC002852
Double-eyed Fig-Parrot,Cyclopsitta diophthalma,TC002853
Large Fig-Parrot,Psittaculirostris desmarestii,TC002854
Edwards's Fig-Parrot,Psittaculirostris edwardsii,TC002855
Salvadori's Fig-Parrot,Psittaculirostris salvadorii,TC002856
Guaiabero,Bolbopsittacus lunulatus,TC002857
Crimson Shining-Parrot,Prosopeia splendens,TC002858
Red Shining-Parrot,Prosopeia tabuensis,TC002859
Masked Shining-Parrot,Prosopeia personata,TC002860
Horned Parakeet,Eunymphicus cornutus,TC002861
Raiatea Parakeet,Cyanoramphus ulietanus,TC002862
Black-fronted Parakeet,Cyanoramphus zealandicus,TC002863
Antipodes Parakeet,Cyanoramphus unicolor,TC002864
Red-fronted Parakeet,Cyanoramphus novaezelandiae,TC002865
Reischek's Parakeet,Cyanoramphus hochstetteri,TC002866
New Caledonian Parakeet,Cyanoramphus saissetti,TC002867
Norfolk Island Parakeet,Cyanoramphus cookii,TC002868
Yellow-fronted Parakeet,Cyanoramphus auriceps,TC002869
Chatham Islands Parakeet,Cyanoramphus forbesi,TC002870
Malherbe's Parakeet,Cyanoramphus malherbi,TC002871
Red-capped Parrot,Purpureicephalus spurius,TC002872
Port Lincoln Parrot,Barnardius zonarius,TC002873
Mallee Ringneck,Barnardius barnardi,TC002874
Green Rosella,Platycercus caledonicus,TC002877
Crimson Rosella,Platycercus elegans,TC002878
Northern Rosella,Platycercus venustus,TC002882
Eastern Rosella,Platycercus eximius,TC002883
Pale-headed Rosella,Platycercus adscitus,TC002884
Western Rosella,Platycercus icterotis,TC002885
Red-rumped Parrot,Psephotus haematonotus,TC002886
Mulga Parrot,Psephotus varius,TC002887
Hooded Parrot,Psephotus dissimilis,TC002888
Golden-shouldered Parrot,Psephotus chrysopterygius,TC002889
Paradise Parakeet,Psephotus pulcherrimus,TC002890
Bluebonnet,Northiella haematogaster,TC002891
Bourke's Parrot,Neophema bourkii,TC002895
Blue-winged Parrot,Neophema chrysostoma,TC002896
Elegant Parrot,Neophema elegans,TC002897
Rock Parrot,Neophema petrophila,TC002898
Orange-bellied Parrot,Neophema chrysogaster,TC002899
Turquoise Parrot,Neophema pulchella,TC002900
Scarlet-chested Parrot,Neophema splendida,TC002901
Swift Parrot,Lathamus discolor,TC002902
Budgerigar,Melopsittacus undulatus,TC002903
Ground Parrot,Pezoporus wallicus,TC002904
Night Parrot,Pezoporus occidentalis,TC002905
